Cache Size (in KB),Block Size (in bytes),Associativity,Replacement,# Blocks,# Rows,Overhead,Imp Memory Size,Cost in $,Total cache accesses,Cache hits,Cache Misses,Comp Misses,Conf Misses,Hit Rate,Miss Rate,CPI,Unused Cache Space,% Unused Cache Space,Waste in $,Unused Cache Blocks
8,4,1,RR,2048,2048,5120,13,0.65,350466,266633,83833,2048,81785,76.07956264,23.92043736,3.312386199,0,0,0,0
8,4,1,RND,2048,2048,5120,13,0.65,350466,266633,83833,2048,81785,76.07956264,23.92043736,3.312386199,0,0,0,0
8,4,2,RR,2048,1024,5376,13.25,0.65,350466,250714,99752,2048,97704,71.53732459,28.46267541,3.495839768,0,0,0,0
8,4,2,RND,2048,1024,5376,13.25,0.65,350466,276377,74089,2048,72041,78.85986087,21.14013913,3.200094498,0,0,0,0
8,4,4,RR,2048,512,5632,13.5,0.65,350466,236542,113924,2048,111876,67.49356571,32.50643429,3.659160578,0,0,0,0
8,4,4,RND,2048,512,5632,13.5,0.65,350466,282077,68389,2048,66341,80.48626686,19.51373314,3.134406619,0,0,0,0
8,4,8,RR,2048,256,5888,13.75,0.65,350466,217504,132962,2048,130914,62.06136972,37.93863028,3.878558093,0,0,0,0
8,4,8,RND,2048,256,5888,13.75,0.65,350466,282709,67757,2048,65709,80.66659819,19.33340181,3.127123332,0,0,0,0
8,4,16,RR,2048,128,6144,14,0.7,350466,208074,142392,2048,140344,59.37066648,40.62933352,3.987231198,0,0,0,0
8,4,16,RND,2048,128,6144,14,0.7,350466,283228,67238,2048,65190,80.81468673,19.18531327,3.121142278,0,0,0,0
8,16,1,RR,512,512,1280,9.25,0.45,350466,309300,41166,512,40654,88.25392477,11.74607523,4.243897942,0,0,0,0
8,16,1,RND,512,512,1280,9.25,0.45,350466,309300,41166,512,40654,88.25392477,11.74607523,4.243897942,0,0,0,0
8,16,2,RR,512,256,1344,9.3125,0.45,350466,300972,49494,512,48982,85.87766003,14.12233997,4.627791735,0,0,0,0
8,16,2,RND,512,256,1344,9.3125,0.45,350466,314914,35552,512,35040,89.855792,10.144208,3.985110747,0,0,0,0
8,16,4,RR,512,128,1408,9.375,0.45,350466,293473,56993,512,56481,83.73793749,16.26206251,4.973471316,0,0,0,0
8,16,4,RND,512,128,1408,9.375,0.45,350466,318689,31777,512,31265,90.9329293,9.0670707,3.811095489,0,0,0,0
8,16,8,RR,512,64,1472,9.4375,0.45,350466,283865,66601,512,66089,80.99644473,19.00355527,5.416368958,0,0,0,0
8,16,8,RND,512,64,1472,9.4375,0.45,350466,319694,30772,512,30260,91.21969036,8.780309645,3.764768249,0,0,0,0
8,16,16,RR,512,32,1536,9.5,0.45,350466,275731,74735,512,74223,78.67553486,21.32446514,5.791319981,0,0,0,0
8,16,16,RND,512,32,1536,9.5,0.45,350466,319829,30637,512,30125,91.2582105,8.741789503,3.758545186,0,0,0,0
8,64,1,RR,128,128,320,8.3125,0.4,350466,322904,27562,128,27434,92.13561373,7.864386274,7.428354115,0,0,0,0
8,64,1,RND,128,128,320,8.3125,0.4,350466,322904,27562,128,27434,92.13561373,7.864386274,7.428354115,0,0,0,0
8,64,2,RR,128,64,336,8.328125,0.4,350466,315963,34503,128,34375,90.15510777,9.844892229,8.708184479,0,0,0,0
8,64,2,RND,128,64,336,8.328125,0.4,350466,327570,22896,128,22768,93.46698396,6.533016041,6.568004241,0,0,0,0
8,64,4,RR,128,32,352,8.34375,0.4,350466,309875,40591,128,40463,88.41799204,11.58200796,9.830732708,0,0,0,0
8,64,4,RND,128,32,352,8.34375,0.4,350466,330402,20064,128,19936,94.27505093,5.724949068,6.045820177,0,0,0,0
8,64,8,RR,128,16,368,8.359375,0.4,350466,303011,47455,128,47327,86.45945684,13.54054316,11.09636527,0,0,0,0
8,64,8,RND,128,16,368,8.359375,0.4,350466,331864,18602,128,18474,94.6922098,5.307790199,5.776246341,0,0,0,0
8,64,16,RR,128,8,384,8.375,0.4,350466,288765,61701,128,61573,82.39458321,17.60541679,13.72314288,0,0,0,0
8,64,16,RND,128,8,384,8.375,0.4,350466,332155,18311,128,18183,94.77524211,5.224757894,5.722589716,0,0,0,0
64,4,1,RR,16384,16384,34816,98,4.9,350466,307345,43121,14460,28661,87.69609605,12.30390395,2.843213405,11.50830078,11.74316406,0.575415039,1924
64,4,1,RND,16384,16384,34816,98,4.9,350466,307345,43121,14460,28661,87.69609605,12.30390395,2.843213405,11.50830078,11.74316406,0.575415039,1924
64,4,2,RR,16384,8192,36864,100,5,350466,306704,43762,15626,28136,87.51319672,12.48680328,2.85060041,4.626464844,4.626464844,0.231323242,758
64,4,2,RND,16384,8192,36864,100,5,350466,310487,39979,15626,24353,88.59261669,11.40738331,2.807004402,4.626464844,4.626464844,0.231323242,758
